epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1451,3.29373,3.70644,4.22012,0.00192,0.2697,0.00222,0.00095,2.98673,4.0249,4.14994,0.00328205,0.00328205,0.00328205
2,50.1549,2.91999,2.94324,3.6902,0.43574,0.17488,0.18653,0.06681,2.41482,2.74686,3.28115,0.00659355,0.00659355,0.00659355
3,71.3045,2.23849,2.02907,2.64318,0.36949,0.29926,0.27073,0.12614,1.93335,4.8899,2.36072,0.00988306,0.00988306,0.00988306
4,93.4936,1.77633,1.4982,2.02862,0.52376,0.39778,0.38719,0.18308,1.9834,3.54973,2.37044,0.009901,0.009901,0.009901
5,114.685,1.53582,1.23771,1.76836,0.71283,0.60528,0.6649,0.37962,1.48778,1.34264,1.6917,0.009868,0.009868,0.009868
6,136.441,1.43512,1.12963,1.6777,0.76074,0.63547,0.70101,0.41367,1.41499,1.38378,1.58621,0.009835,0.009835,0.009835
7,157.558,1.3406,1.01323,1.58149,0.83461,0.72091,0.81757,0.49086,1.3793,0.91661,1.51316,0.009802,0.009802,0.009802
8,179.206,1.33296,0.99562,1.55312,0.78338,0.70074,0.75067,0.43505,1.45343,1.12351,1.64722,0.009769,0.009769,0.009769
9,199.767,1.29165,0.9494,1.51533,0.80854,0.7957,0.82916,0.52444,1.22825,1.05221,1.41447,0.009736,0.009736,0.009736
10,221.24,1.25442,0.89691,1.47399,0.82414,0.77335,0.837,0.53412,1.23136,0.88329,1.39214,0.009703,0.009703,0.009703
11,242.739,1.22515,0.89286,1.46257,0.81942,0.76108,0.82737,0.51526,1.26891,0.87898,1.42649,0.00967,0.00967,0.00967
12,263.3,1.20729,0.86287,1.45196,0.83614,0.7981,0.85609,0.55236,1.21133,0.80616,1.3704,0.009637,0.009637,0.009637
13,284.479,1.17697,0.84122,1.42415,0.84676,0.77586,0.85371,0.54918,1.21229,0.78921,1.37227,0.009604,0.009604,0.009604
14,305.88,1.18426,0.81755,1.41444,0.83283,0.78079,0.83853,0.53506,1.23865,0.86507,1.40385,0.009571,0.009571,0.009571
15,327.359,1.16932,0.81332,1.40707,0.82895,0.75799,0.84274,0.54498,1.18051,0.80938,1.32709,0.009538,0.009538,0.009538
16,348.514,1.15647,0.78452,1.38983,0.81629,0.80443,0.84925,0.55115,1.18655,0.88437,1.34711,0.009505,0.009505,0.009505
17,369.532,1.13349,0.77565,1.38242,0.83279,0.78571,0.85474,0.54719,1.15997,0.84744,1.33911,0.009472,0.009472,0.009472
18,390.282,1.14012,0.78006,1.36996,0.83408,0.81773,0.86915,0.55711,1.17978,0.74695,1.32822,0.009439,0.009439,0.009439
19,411.291,1.12278,0.75381,1.36196,0.83395,0.80788,0.86415,0.56109,1.14183,0.75518,1.29028,0.009406,0.009406,0.009406
20,432.663,1.11188,0.74956,1.3443,0.84353,0.80296,0.87708,0.56706,1.17227,0.72,1.32628,0.009373,0.009373,0.009373
21,453.819,1.09544,0.73258,1.33956,0.8121,0.81971,0.85935,0.53882,1.25412,0.72319,1.38052,0.00934,0.00934,0.00934
22,475.445,1.07938,0.71591,1.34222,0.82011,0.80419,0.86458,0.55988,1.15097,0.739,1.30207,0.009307,0.009307,0.009307
23,496.522,1.09644,0.71736,1.33206,0.83559,0.79488,0.8627,0.57655,1.1395,0.7037,1.27954,0.009274,0.009274,0.009274
24,517.869,1.06837,0.71604,1.31625,0.82274,0.8288,0.87263,0.57598,1.15281,0.69836,1.29991,0.009241,0.009241,0.009241
25,538.996,1.06304,0.70552,1.31597,0.82992,0.81034,0.87145,0.56837,1.1396,0.7283,1.28929,0.009208,0.009208,0.009208
26,560.576,1.06709,0.69364,1.29371,0.83928,0.81029,0.87461,0.57659,1.141,0.67386,1.28071,0.009175,0.009175,0.009175
27,582.454,1.05923,0.70031,1.31203,0.83039,0.80665,0.8581,0.55494,1.20675,0.71473,1.32658,0.009142,0.009142,0.009142
28,603.51,1.04115,0.6771,1.29067,0.83597,0.81281,0.87642,0.57774,1.13429,0.64711,1.27582,0.009109,0.009109,0.009109
29,624.955,1.03192,0.67034,1.28353,0.85501,0.80911,0.87258,0.57566,1.13396,0.6659,1.27887,0.009076,0.009076,0.009076
30,645.736,1.04584,0.67009,1.28242,0.82717,0.80911,0.86331,0.56054,1.14986,0.70755,1.2883,0.009043,0.009043,0.009043
31,666.552,1.01789,0.64385,1.2674,0.80645,0.82102,0.86497,0.56632,1.14869,0.65709,1.29597,0.00901,0.00901,0.00901
32,687.976,1.0309,0.65657,1.26914,0.84501,0.799,0.87205,0.57757,1.14011,0.65539,1.28055,0.008977,0.008977,0.008977
33,709.207,1.01299,0.64448,1.2673,0.81897,0.84129,0.87995,0.58089,1.14466,0.67744,1.28431,0.008944,0.008944,0.008944
34,730.788,1.00847,0.63633,1.26162,0.86574,0.81796,0.88769,0.5884,1.1277,0.64858,1.26403,0.008911,0.008911,0.008911
35,752.36,1.01071,0.6329,1.26074,0.85293,0.80911,0.87657,0.57907,1.14152,0.68277,1.29676,0.008878,0.008878,0.008878
36,773.529,1.00669,0.63027,1.25249,0.87795,0.76232,0.86313,0.57114,1.12547,0.6631,1.27494,0.008845,0.008845,0.008845
37,794.531,0.9983,0.62923,1.24692,0.82904,0.8202,0.87321,0.57184,1.14188,0.6869,1.30149,0.008812,0.008812,0.008812
38,816.451,0.99524,0.62671,1.24311,0.84928,0.80788,0.87186,0.56324,1.15656,0.68363,1.27747,0.008779,0.008779,0.008779
39,837.911,0.9915,0.6212,1.23752,0.85451,0.80665,0.88223,0.57708,1.1548,0.65266,1.29974,0.008746,0.008746,0.008746
40,859.028,0.97899,0.61035,1.2341,0.88465,0.81034,0.88607,0.58188,1.15409,0.64407,1.29572,0.008713,0.008713,0.008713
41,879.989,0.96595,0.597,1.21912,0.87134,0.80911,0.88512,0.58979,1.12202,0.62994,1.28058,0.00868,0.00868,0.00868
42,901.171,0.99156,0.60855,1.23383,0.84808,0.82496,0.8833,0.57795,1.13514,0.64777,1.28608,0.008647,0.008647,0.008647
43,922.197,0.97416,0.6054,1.23464,0.85466,0.81836,0.88238,0.58569,1.12557,0.62751,1.27646,0.008614,0.008614,0.008614
44,943.431,0.96265,0.59961,1.2292,0.84915,0.82882,0.87145,0.57373,1.13145,0.65144,1.28733,0.008581,0.008581,0.008581
45,964.75,0.9482,0.58835,1.21282,0.84725,0.77094,0.85949,0.57279,1.11827,0.65092,1.27363,0.008548,0.008548,0.008548
46,985.867,0.9622,0.58931,1.20824,0.85303,0.80049,0.87275,0.58037,1.14251,0.62071,1.28866,0.008515,0.008515,0.008515
47,1007.09,0.94052,0.58227,1.20743,0.86406,0.79064,0.87539,0.58776,1.11024,0.62951,1.25638,0.008482,0.008482,0.008482
48,1027.66,0.95101,0.57134,1.2037,0.84988,0.82143,0.88385,0.58666,1.11437,0.61191,1.27006,0.008449,0.008449,0.008449
49,1049.18,0.94702,0.57619,1.20422,0.83116,0.82453,0.86961,0.58422,1.11738,0.63269,1.27161,0.008416,0.008416,0.008416
50,1070.98,0.92357,0.56607,1.20024,0.84451,0.8202,0.87725,0.58161,1.14021,0.62044,1.28956,0.008383,0.008383,0.008383
51,1092.7,0.93366,0.57055,1.19893,0.82855,0.84509,0.88626,0.58501,1.12852,0.62443,1.28808,0.00835,0.00835,0.00835
